Cell_Type,Replicate,Total_Replicate_Read_Count,Total_FASTQ_Read_Count,Edit_Efficiency_Percent
K562,1,91184,1066761,8.547744059
K562,2,47047,753224,6.246083502
K562,3,63227,1001193,6.315166007
HEK293T,1,93047,714712,13.01881037
HEK293T,2,78087,628229,12.42970318
HEK293T,3,86439,571092,15.13573995
HEK293T,4,86265,620652,13.89909321
HEK293T,5,64205,431077,14.89409085
HEK293T,6,73926,523680,14.11663611
HEK293T,7,138487,848322,16.32481534
HEK293T,8,120101,746728,16.0836342
iPSC,1,655861,5901712,11.11306346
iPSC,2,225405,1326050,16.99822782
iPSC,3,234579,1503321,15.60405263
iPSC,4,293153,1824500,16.06758016
mESC,1,2382263,6314064,37.72947186
mESC,2,908436,2467615,36.81433287
mESC,3,805795,2099434,38.38153521
mESC,4,827901,2351856,35.20202768