Name,Replicate,iPSC_BC_Normalized_Edit_Score,Mean_iPSC_BC_Normalized_Edit_Score
Human_Weissman_RNU6-1,4,3.56,5.667916666666667
Human_Weissman_RNU6-1,3,3.68,5.667916666666667
Human_Weissman_RNU6-1,2,4.33,5.667916666666667
Human_Weissman_RNU6-1,1,4.72,5.667916666666667
Chelydra_serpentina_RNU6-2_ENSCSRG00000002895,2,1.92,2.4299999999999997
Chelydra_serpentina_RNU6-2_ENSCSRG00000002895,4,2.34,2.4299999999999997
Chelydra_serpentina_RNU6-2_ENSCSRG00000002895,3,2.67,2.4299999999999997
Chelydra_serpentina_RNU6-2_ENSCSRG00000002895,1,2.79,2.4299999999999997
Human_Weissman_RNU6-1,4,2.62,5.667916666666667
Human_Weissman_RNU6-1,2,3.1,5.667916666666667
Human_Weissman_RNU6-1,1,3.12,5.667916666666667
Human_Weissman_RNU6-1,3,3.31,5.667916666666667
Human_Weissman_RNU6-1,3,5.38,5.667916666666667
Human_Weissman_RNU6-1,2,8.42,5.667916666666667
Human_Weissman_RNU6-1,4,8.5,5.667916666666667
Human_Weissman_RNU6-1,1,8.74,5.667916666666667
Human_Weissman_RNU6-1,1,4.98,5.667916666666667
Human_Weissman_RNU6-1,2,6.18,5.667916666666667
Human_Weissman_RNU6-1,3,7.8,5.667916666666667
Human_Weissman_RNU6-1,4,10.97,5.667916666666667
Cairina_moschata_domestica_RNU6-8_ENSCMMG00000004654,3,4.1,4.3975
Cairina_moschata_domestica_RNU6-8_ENSCMMG00000004654,2,4.12,4.3975
Cairina_moschata_domestica_RNU6-8_ENSCMMG00000004654,4,4.44,4.3975
Cairina_moschata_domestica_RNU6-8_ENSCMMG00000004654,1,4.93,4.3975
Human_Weissman_RNU6-1,2,6.96,5.667916666666667
Human_Weissman_RNU6-1,4,7.38,5.667916666666667
Human_Weissman_RNU6-1,1,7.84,5.667916666666667
Human_Weissman_RNU6-1,3,9.21,5.667916666666667
Canis_lupus_dingo_RNU6-8_ENSCAFG00020008041,1,4.09,4.5
Canis_lupus_dingo_RNU6-8_ENSCAFG00020008041,4,4.39,4.5
Canis_lupus_dingo_RNU6-8_ENSCAFG00020008041,3,4.67,4.5
Canis_lupus_dingo_RNU6-8_ENSCAFG00020008041,2,4.85,4.5
Human_Weissman_RNU6-1,4,2.88,5.667916666666667
Human_Weissman_RNU6-1,3,3.72,5.667916666666667
Human_Weissman_RNU6-1,2,4.24,5.667916666666667
Human_Weissman_RNU6-1,1,4.39,5.667916666666667
Camelus_dromedarius_U6_ENSCDRG00005003424,4,2.84,3
Camelus_dromedarius_U6_ENSCDRG00005003424,2,3.03,3
Camelus_dromedarius_U6_ENSCDRG00005003424,3,3.04,3
Camelus_dromedarius_U6_ENSCDRG00005003424,1,3.09,3
Ursus_thibetanus_thibetanus_RNU6-8_ENSUTTG00000011871,1,4.08,4.4725
Ursus_thibetanus_thibetanus_RNU6-8_ENSUTTG00000011871,2,4.21,4.4725
Ursus_thibetanus_thibetanus_RNU6-8_ENSUTTG00000011871,3,4.59,4.4725
Ursus_thibetanus_thibetanus_RNU6-8_ENSUTTG00000011871,4,5.01,4.4725
Human_RNU6-2,3,2.21,2.545
Human_RNU6-2,2,2.33,2.545
Human_RNU6-2,4,2.53,2.545
Human_RNU6-2,1,3.11,2.545
Echinops_telfairi_RNU6-8_ENSETEG00000021251,2,5.36,6.135
Echinops_telfairi_RNU6-8_ENSETEG00000021251,1,6.25,6.135
Echinops_telfairi_RNU6-8_ENSETEG00000021251,3,6.37,6.135
Echinops_telfairi_RNU6-8_ENSETEG00000021251,4,6.56,6.135
Camarhynchus_parvulus_RNU6-2_ENSCPVG00000016608,3,2.01,2.355
Camarhynchus_parvulus_RNU6-2_ENSCPVG00000016608,1,2.42,2.355
Camarhynchus_parvulus_RNU6-2_ENSCPVG00000016608,2,2.44,2.355
Camarhynchus_parvulus_RNU6-2_ENSCPVG00000016608,4,2.55,2.355
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,4,6.21,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,1,6.32,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,3,6.56,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,2,6.61,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,3,2.93,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,4,3.44,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,1,3.49,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,2,3.89,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,1,2.82,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,3,2.88,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,2,3.26,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,4,3.91,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,1,8.08,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,4,8.36,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,2,8.4,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,3,9.44,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,2,4.76,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,1,4.88,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,3,5.17,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,4,5.72,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,4,2.84,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,2,3.54,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,1,3.6,5.037083333333333
Ornithorhynchus_anatinus_RNu6-2_ENSOANG00000045249,3,3.78,5.037083333333333
