Cell_Type,Replicate,BC_Pool,Total_Replicate_Read_Count,Total_FASTQ_Read_Count,Edit_Efficiency_Percent
K562,1,1,108518,6936753,1.56439187
K562,2,1,103788,6358214,1.632345184
K562,3,1,123681,8285804,1.492685562
K562,4,1,175255,10020374,1.748986615
HEK293T,1,1,252522,3135875,8.052680671
HEK293T,2,1,130899,1521592,8.60276605
HEK293T,3,1,113187,1361843,8.311310481
HEK293T,4,1,90936,1036951,8.769556131
iPSC,1,1,264861,1514424,17.48922363
iPSC,2,1,173714,952854,18.2309147
iPSC,3,1,370276,1923316,19.2519586
iPSC,4,1,477246,2325306,20.52400845
K562,1,2,96484,6242086,1.545701229
K562,2,2,111633,8985337,1.242390797
K562,3,2,38409,3144305,1.221541803
K562,4,2,67646,4323999,1.564431444
HEK293T,1,2,74448,3135875,2.374074222
HEK293T,2,2,71623,1521592,4.707109396
HEK293T,3,2,100967,1361843,7.413997061
HEK293T,4,2,169440,1036951,16.3402128
iPSC,1,2,113876,1514424,7.519426528
iPSC,2,2,125983,952854,13.22164781
iPSC,3,2,84367,1923316,4.386538666
iPSC,4,2,195308,2325306,8.399238638